,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
589,Dino Morea,Bipasha Basu,Ashutosh Rana,Malini Sharma,Shruti Ulfat,Anang Desai,Vishwajeet Pradhan,"5,25,00,000",Mahesh Bhatt,Vikram Bhatt,,"79,00,000","4,69,00,000","2,32,00,000",Horror,"35,89,00,000",Sameer,Nadeem - Shravan,"$155,000",Mukesh Bhatt,Tips Industries Pvt. Ltd.,01-Feb-02,149 min,Mahesh Bhatt,215,Girish Dhamija,Raaz,"36,63,78,750"
590,Amitabh Bachchan,Sanjay Dutt,Suneil Shetty,Mahesh Manjrekar,Lucky Ali,Kumar Gaurav,Gulshan Grover,"30,00,00,000","Yash - Vinay,Sanjay Gupta",Sanjay Gupta,,"2,04,00,000","10,38,00,000","5,87,00,000",Action,"33,12,00,000","Vishal Daldani,Lucky Ali,Dev Kohli","Anand Raj Anand,Vishal - Shekhar,Lucky Ali","$2,050,000","Pritish Nandy,Sanjay Gupta,Raju Sharad Patel",Film Club Ltd.,20-Dec-02,148 min,,450,Milap Zaveri,Kaante,"42,96,00,000"
591,Amitabh Bachchan,Akshay Kumar,Sushmita Sen,Arjun Rampal,Paresh Rawal,Aditya Pancholi,Kashmira Shah,"17,00,00,000","Aatish Kapadia,Vipul Amrutlal Shah",Vipul Amrutlal Shah,,"1,20,00,000","6,67,00,000","3,63,00,000",Thriller,"28,64,00,000","Prasoon Joshi,Nitin Raikwar,Praveen Bhardwaj","Aadesh Shrivastava,Jatin - Lalit","$1,060,000",Gaurang Doshi,V.R. Pictures,05-Apr-02,158 min,"Vipul Amrutlal Shah,Aatish Kapadia",310,Aatish Kapadia,Aankhen,"33,80,75,000"
592,Bobby Deol,Akshaye Khanna,Ameesha Patel,Johny Lever,Suhasini Mulay,Dinesh Hingoo,Sudhir,"15,00,00,000","Shiraz Ahmed,Shyam Goel",Abbas - Mustan,,"1,55,00,000","7,70,00,000","4,48,00,000",Thriller,"27,20,00,000",Sudhakar Sharma,Himesh Reshammiya,"$515,000","Ratan Jain,Ganesh Jain",Venus Records & Tapes Pvt. Ltd.,05-Jul-02,174 min,"Shyam Goel,Shiraz Ahmed",325,"Shiraz Ahmed,Shyam Goel",Humraaz,"29,71,06,250"
593,Salman Khan,Shahrukh Khan,Madhuri Dixit,Atul Agnihotri,Suman Ranganathan,Alok Nath,Aruna Irani,"12,00,00,000",K.S. Adhiyaman,K.S. Adhiyaman,,"1,42,00,000","6,84,00,000","4,14,00,000",Love Story,"22,26,70,000","Kartik Awasthi,Sameer,Jalees Sherwani,Maya Govind","Nikhil - Vinay,Bali Brahmbhatt,Sajid - Wajid,Nadeem - Shravan,Bappi Lahiri","$2,550,000",K.C. Bokadia,BMB Productions,24-May-02,172 min,K.S. Adhiyaman,300,Reema Rakeshnath,Hum Tumhare Hain Sanam,"34,76,20,000"
594,Akshay Kumar,Suneil Shetty,Aftab Shivdasani,Preeti Jhangiani,Amrita Arora,Aarti Chhabria,Paresh Rawal,"13,00,00,000","Mangesh Kulkarni,Anand Vardhan",Vikram Bhatt,,"1,53,00,000","7,66,00,000","4,43,00,000",Comedy,"26,41,00,000",Sameer,Anu Malik,"$240,000",Firoz Nadiadwala,Base Industries Group,21-Jun-02,164 min,"Mangesh Kulkarni,Anand Vardhan",325,Neeraj Vora,Awara Paagal Deewana,"27,58,00,000"
595,Sunny Deol,Tabu,Arbaaz Khan,Monal,Tinnu Verma,Mohan Joshi,Sudesh Berry,"13,00,00,000",Shyam Goel,Tinnu Verma,,"1,71,00,000","7,72,00,000","4,90,00,000",Action,"22,36,00,000","Tejpal Kaur,Vikki Nagar,Sameer",Sajid - Wajid,"$100,000",Mahendra Dhariwal,Indian Movies,25-Jan-02,162 min,Tinnu Verma,375,"K.K. Singh,Tinnu Verma",Maa Tujhhe Salaam,"22,84,25,000"
596,Ajay Devgn,Akshaye Khanna,Urmila Matondkar,Farida Jalal,Vijayendra Ghatge,Tiku Talsania,Seema Biswas,"9,00,00,000","Neeraj Pathak,Anees Bazmee,Humayan Mirza",Anees Bazmee,,"68,00,000","3,87,00,000","2,05,00,000",Thriller,"18,52,00,000","Nusrat Badr,Salim Bijnori",Ismail Darbar,"$375,000",Nitin Manmohan,Neha Arts,25-Oct-02,168 min,Anees Bazmee,250,"Neeraj Pathak,Anees Bazmee",Deewangee,"20,32,93,750"
597,Ajay Devgn,Mohanlal,Manisha Koirala,Vivek Oberoi,Seema Biswas,Antara Mali,Akarsh Khurana,"9,50,00,000",Jaideep Sahni,Ram Gopal Verma,,"1,18,00,000","6,01,00,000","3,47,00,000",Action,"22,66,00,000","Nitin Raikwar,Jaideep Sahni,Taabhish Romani",Sandeep Chowta,"$485,000","Ram Gopal Verma,C. Ashwini Dutt,Boney Kapoor",Ram Gopal Varma Productions,12-Apr-02,155 min,Jaideep Sahni,295,Jaideep Sahni,Company,"25,02,43,750"
598,Rani Mukherjee,Vivek Oberoi,Tanuja,Satish Shah,Sharat Saxena,Swaroop Sampat,Veerendra Saxena,"7,50,00,000",Mani Ratnam,Shaad Ali,,"53,00,000","3,78,00,000","1,79,00,000",Love Story,"24,71,00,000",Gulzar,A.R. Rehman,"$925,000",Bobby Bedi,Kaleidoscope Entertainment Pvt. Ltd.,20-Dec-02,132 min,Mani Ratnam,180,Gulzar,Saathiya,"29,15,00,000"
599,Amitabh Bachchan,Sanjay Dutt,Ajay Devgn,Aishwarya Rai,Satish Kaushik,Annu Kapoor,Paresh Rawal,"19,00,00,000","Robin Bhatt,Rumi Jaffery",David Dhawan,,"1,63,00,000","7,38,00,000","4,64,00,000",Comedy,"19,79,00,000",Anand Bakshi,Anu Malik,"$610,000",Afzal Khan,Shabbo Arts,31-May-02,161 min,"Robin Bhatt,Rumi Jaffery",350,Rumi Jaffery,Hum Kisise Kum Nahin,"22,77,90,000"
600,Hrithik Roshan,Rani Mukherjee,Kareena Kapoor,Satish Shah,Kiran Kumar,Smita Jaykar,Himani Shivpuri,"12,00,00,000",Kunal Kohli,Kunal Kohli,,"1,16,00,000","6,28,00,000","3,58,00,000",Love Story,"21,10,00,000",Anand Bakshi,Rahul Sharma,"$2,580,000",Yash Chopra,Yash Raj Films,09-Aug-02,148 min,Kunal Kohli,290,Kunal Kohli,Mujhse Dosti Karoge!,"33,61,30,000"
601,Sunny Deol,Akshay Kumar,Suneil Shetty,Manisha Koirala,Aftab Shivdasani,Rambha,Aditya Pancholi,"18,00,00,000","Raj Kumar Kohli,Naveena Bhandari",Raj Kumar Kohli,,"1,35,00,000","6,47,00,000","4,02,00,000",Action,"17,89,00,000","Dev Kohli,Sameer,Nitin Raikwar","Anand Raj Anand,Sandeep Chowta,Anand - Milind","$140,000",Raj Kumar Kohli,Shankar Movies,15-Aug-02,169 min,,350,K.K. Singh,Jaani Dushman - Ek Anokhi Kahani,"18,56,90,000"
602,Salman Khan,Sushmita Sen,Dia Mirza,Inder Kumar,Sharat Saxena,Pankaj Dheer,Mukesh Rishi,"11,00,00,000",Rumi Jaffery,Pankaj Parashar,,"1,28,00,000","5,99,00,000","3,61,00,000",Action,"17,41,00,000","Salim Bijnori,Jalees Sherwani,Sudhakar Sharma,Rashid Khan","Sajid - Wajid,Daboo Malik","$510,000",Gordhan Tanwani,Baba Films,22-Feb-02,167 min,Rumi Jaffery,290,Rumi Jaffery,Tumko Na Bhool Paayenge,"19,89,62,500"
603,Rekha,Preity Zinta,Mahima Chaudhary,Arjun Rampal,Jimmy Shergill,Alok Nath,Sachin Khedekar,"7,25,00,000","Rajkumar Santoshi,Kundan Shah",Kundan Shah,,"76,00,000","4,11,00,000","2,34,00,000",Love Story,"14,15,00,000",Sameer,Nadeem - Shravan,"$800,000","Ramesh S. Taurani,Kumar S. Taurani",Tips Industries Pvt. Ltd.,06-Sep-02,183 min,"Rajkumar Santoshi,Kundan Shah",235,Subrat Sinha,Dil Hai Tumhaara,"18,03,00,000"
604,Sunny Deol,Suneil Shetty,Shilpa Shetty,Ashutosh Rana,Kirron Kher,Sayaji Shinde,Johny Lever,"11,00,00,000",Anees Bazmee,Harry Baweja,,"1,26,00,000","5,57,00,000","3,57,00,000",Action,"14,22,00,000","Sameer,Abbas Katka",Sanjeev - Darshan,"$280,000",Kaushal Godha,Aashna Arts,06-Dec-02,166 min,Atul Sharma,335,Anees Bazmee,Karz - The Burden of Truth,"15,57,10,000"
605,Bobby Deol,Shekhar Suman,Shilpa Shetty,Bipasha Basu,Om Puri,Ashish Vidyarthi,Rajat Bedi,"8,50,00,000",Yunus Sajawal,David Dhawan,,"1,00,00,000","4,78,00,000","2,97,00,000",Comedy,"12,49,00,000","Dev Kohli,Tejpal Kaur,Farhad,Minoo Singh",Anu Malik,"$235,000",Rajiv Tolani,Geeta Enterprises,30-Aug-02,145 min,Yunus Sajawal,260,Anwar Khan,Chor Machaaye Shor,"13,62,97,500"
606,Hrithik Roshan,Ameesha Patel,Kiran Kumar,Alok Nath,Mukesh Tiwari,Nishigandha Wad,Ali Asghar,"11,00,00,000","Robin Bhatt,Sanjeev Duggal",Vikram Bhatt,,"1,09,00,000","5,30,00,000","3,24,00,000",Love Story,"15,81,00,000","Ibrahim Ashik,Dev Kohli",Rajesh Roshan,"$915,000",Rohit Kumar,Emkay Films Pvt. Ltd.,19-Apr-02,166 min,"Robin Bhatt,Sanjeev Duggal",250,Girish Dhamija,Aap Mujhe Achche Lagne Lage,"20,27,06,250"
607,Nana Patekar,Karisma Kapoor,Sanjay Kapoor,Deepti Naval,Tiku Talsania,Jaspal Bhatti,Anupam Shyam,"10,00,00,000",Krishna Vamsi,Krishna Vamsi,,"98,00,000","4,62,00,000","2,82,00,000",Action,"13,82,00,000","Sameer,Mehboob","Anu Malik,Ismail Darbar","$1,350,000",Sridevi,Sridevi Productions,20-Sep-02,168 min,Krishna Vamsi,285,Kamal Pandey,Shakthi - The Power,"20,36,75,000"
608,Sunny Deol,Bobby Deol,Amrita Singh,Rahul Dev,Akshay Anand,Vicky Ahuja,Divya Dutta,"20,00,00,000",Sutanu Gupta,Guddu Dhanoa,,"1,21,00,000","5,08,00,000","3,26,00,000",Drama,"12,78,00,000",Dev Kohli,Anand Raj Anand,"$300,000",,Sunny Super Sound,07-Jun-02,187 min,,320,Sanjay Masoom,23rd March 1931 Shaheed,"14,25,00,000"
609,Saif Ali Khan,Hrithik Roshan,Esha Deol,Alok Nath,Moushumi Chatterjee,Rati Agnihotri,Smita Jaykar,"14,00,00,000",Arjun Sablok,Arjun Sablok,,"81,00,000","4,33,50,000","2,46,00,000",Love Story,"13,34,00,000",Anand Bakshi,Rajesh Roshan,"$1,220,000","Vivek Singhania,Kishore Biyani",PFH Entertainment Ltd.,10-May-02,161 min,Arjun Sablok,200,Pratibha Acharya,Na Tum Jaano Na Hum,"19,28,75,000"
610,Akshay Kumar,Karisma Kapoor,Abhishek Bachchan,Kader Khan,Himani Shivpuri,Shakti Kapoor,Navneet Nishan,"11,00,00,000","Dharmesh Darshan,Raj Sinha",Dharmesh Darshan,,"96,00,000","4,55,50,000","2,81,00,000",Love Story,"14,95,00,000",Sameer,Nadeem - Shravan,"$950,000",Suneel Darshan,Shree Krishna International,15-Feb-02,175 min,Raj Sinha,275,"Dharmesh Darshan,Raj Sinha,Naseem Mukri",Haan Maine Bhi Pyaar Kiya,"19,55,75,000"
611,Manoj Bajpai,Vivek Oberoi,Antara Mali,Sayaji Shinde,Makarand Deshpande,Rajpal Yadav,Vijay Raaz,"6,00,00,000",Rajnish Thakur,Rajat Mukherjee,,"88,00,000","4,30,00,000","2,59,00,000",Thriller,"12,25,00,000","Taabhish Romani,Makarand Deshpande,Nitin Raikwar,Jaideep Sahni,Khilesh Sharma","Sandesh Shandilya,Nitin Raikwar","$205,000",Ram Gopal Verma,Ram Gopal Varma Productions,27-Sep-02,134 min,Rajnish Thakur,225,Rajnish Thakur,Road,"13,23,91,250"
612,Anil Kapoor,Karisma Kapoor,Shilpa Shetty,Amrish Puri,Jagdeep,Sadashiv Amrapurkar,Alok Nath,"8,75,00,000","Praful Parekh,Rajeev Kaul",Indra Kumar,,"68,00,000","3,44,00,000","2,02,00,000",Drama,"9,77,00,000",Abbas Katka,Sanjeev - Darshan,"$540,000","Indra Kumar,Ashok Thakeria",Maruti International,06-Dec-02,157 min,"Rajeev Kaul,Praful Parekh",260,Tanveer Khan,Rishtey,"12,37,55,000"
613,Uday Chopra,Jimmy Shergill,Tulip Joshi,Alok Nath,Neena Kulkarni,Deven Verma,Bindu,"5,75,00,000","Mayur Puri,Sanjay Gadhvi",Sanjay Gadhvi,,"52,00,000","3,04,00,000","1,61,00,000",Love Story,"13,60,00,000",Javed Akhtar,Jeet - Pritam,"$600,000",Yash Chopra,Yash Raj Films,07-Jun-02,159 min,"Mayur Puri,Sanjay Gadhvi",150,Mayur Puri,Mere Yaar Ki Shaadi Hai,"16,54,00,000"
614,Karan Nath,Jividha Sharma,Aruna Irani,Aditya Pancholi,Rajat Bedi,Arun Bakshi,,"4,25,00,000",Kuku Kohli,Kuku Kohli,,"47,00,000","2,57,00,000","1,47,00,000",Love Story,"10,43,00,000",Sameer,Nadeem - Shravan,"$30,000",Aruna Irani,A.K. International,18-Jan-02,148 min,Kuku Kohli,160,Tanveer Khan,Yeh Dil Aashiqanaa,"10,57,47,500"
615,Rishi Kapoor,Salman Khan,Ameesha Patel,Rati Agnihotri,Rinke Khanna,Anupam Kher,Kader Khan,"8,00,00,000","Yunus Sajawal,Imtiaz Patel",David Dhawan,,"87,00,000","3,70,00,000","2,45,00,000",Comedy,"8,93,00,000","Sudhakar Sharma,Dev Kohli","Anand Raj Anand,Himesh Reshammiya","$400,000",Kanchan Ketan Desai,M.K.D. Films,26-Jul-02,144 min,"Yunus Sajawal,Imtiaz Patel",280,Rumi Jaffery,Yeh Hai Jalwa,"10,88,00,000"
616,Ajay Devgn,Sushant Singh,D. Santosh,Akhilendra Mishra,Raj Babbar,Farida Jalal,Amrita Rao,"20,00,00,000",Anjum Rajabali,Rajkumar Santoshi,,"59,00,000","3,30,00,000","1,84,00,000",Drama,"12,20,00,000",Sameer,A.R. Rehman,"$150,000","Ramesh S. Taurani,Kumar S. Taurani",Tips Industries Pvt. Ltd.,07-Jun-02,156 min,Anjum Rajabali,245,"Piyush Mishra,Rajkumar Santoshi,Anjum Rajabali,Ranjit Kapoor",The Legend Of Bhagat Singh,"12,93,50,000"
617,Danny Denzongpa,Gulshan Grover,Milind Soman,Sushant Singh,Dipannita Sharma,Sajeel Parakh,,"4,00,00,000",Mani Shankar,Mani Shankar,,"52,00,000","2,79,00,000","1,57,00,000",Action,"10,62,00,000",P.K. Mishra,Karthik Raja,"$7,000",Arunima Roy,IDream Production,22-Mar-02,148 min,Mani Shankar,175,Mani Shankar,16-Dec,"10,65,41,250"
618,Sohail Khan,Sameera Reddy,Neeraj Vora,Rajpal Yadav,Sarfaraz Khan,Dalip Tahil,Kabir Bedi,"6,50,00,000",Sohail Khan,Sohail Khan,,"85,00,000","3,86,00,000","2,46,00,000",Love Story,"10,44,00,000","Jalees Sherwani,Gufi Paintal,Praveen Bhardwaj,Faiz Anwar,Salim Bijnori",Daboo Malik,"$180,000","Sohail Khan,Bunty Walia",G.S. Entertainment Pvt. Ltd.,16-Aug-02,164 min,Sohail Khan,235,Talat Jani,Maine Dil Tujhko Diya,"11,31,30,000"
619,Manisha Koirala,Aditya Seal,Ranvir Shorey,Saroj Bhargava,Masood Akhtar,"
",,"1,50,00,000",Shashilal K. Nair,Shashilal K. Nair,,"35,00,000","1,73,00,000","98,00,000",Drama,"7,86,00,000",,Arvind Nirmal,"$50,000",Shashilal K. Nair,Paragon Pictures International,06-Sep-02,129 min,Shashilal K. Nair,65,,Ek Chhotisi Love Story,"8,10,25,000"
620,Abhishek Bachchan,Hrishita Bhatt,Amrish Puri,Helen,Tinnu Anand,A.K. Hangal,Dara Singh,"5,00,00,000",Urmi Juvekar,Gurudev Bhalla,,"11,00,000","43,00,000","27,00,000",Drama,"1,03,00,000",Sameer,Sajid - Wajid,"$45,000",Gurudev Bhalla,Work Station Productions,12-Jul-02,152 min,Urmi Juvekar,55,Tanveer Khan,Sharaarat,"1,24,93,750"
621,Fardeen Khan,Amrita Arora,Satish Shah,Tiku Talsania,Nasir Khan,Govind Namdeo,Shama Deshpande,"5,00,00,000","Mehul Kumar,Yunus Sajawal,Imtiaz Patel",Mehul Kumar,,"29,00,000","1,25,50,000","83,00,000",Love Story,"2,93,00,000","Abbas Katka,Anand Bakshi,Anwar Sagar",Sanjeev - Darshan,"$275,000",Mehul Kumar,M.K. Pictures,29-Mar-02,127 min,Mehul Kumar,125,"Yunus Sajawal,Imtiaz Patel",Kitne Door... Kitne Paas,"4,27,06,250"
622,Dino Morea,Bipasha Basu,Irrfan Khan,Vishwajeet Pradhan,Yashpal Sharma,Ashutosh Rana,Avtar Gill,"4,00,00,000",Mahesh Bhatt,Amol Shetge,,"59,00,000","2,71,00,000","1,71,00,000",Thriller,"7,30,00,000","Anand Bakshi,Faiz Anwar,Praveen Bhardwaj","Sajid - Wajid,Anand Raj Anand","$40,000",Mukesh Bhatt,Vishesh Films Pvt. Ltd.,20-Sep-02,135 min,Mahesh Bhatt,230,Pranay Narayan,Gunaah,"7,49,30,000"
623,Kareena Kapoor,Tusshar Kapoor,Kader Khan,Himani Shivpuri,Vijayendra Ghatge,Mallika Sherawat,Alok Nath,"8,00,00,000",Rumi Jaffery,Talat Jani,,"66,00,000","3,36,00,000","1,92,00,000",Love Story,"10,56,00,000",Sameer,Nadeem - Shravan,"$285,000",Vashu Bhagnani,Puja Entertainment Ltd.,01-Nov-02,139 min,"Aman Jaffery,Bholu Khan",210,"Aman Jaffery,Bholu Khan",Jeena Sirf Merre Liye,"11,93,51,250"
624,Waheeda Rehman,Anil Kapoor,Fardeen Khan,Abhishek Bachchan,Mahima Chaudhary,Urmila Matondkar,Tara Sharma,"13,00,00,000",Rahul Nanda,Anupam Kher,,"79,00,000","3,71,00,000","2,34,00,000",Drama,"10,02,00,000",Sameer,Anu Malik,"$765,000",Vashu Bhagnani,Puja Entertainment Ltd.,19-Jul-02,180 min,Rahul Nanda,250,Rumi Jaffery,Om Jai Jagadish,"13,74,93,750"
625,Jackie Shroff,Aftab Shivdasani,Ameesha Patel,Anupama Varma,Ashish Vidyarthi,Neena Kulkarni,Vrajesh Hirjee,"5,50,00,000",,K. Murali Mohana Rao,,"60,00,000","3,12,00,000","1,80,00,000",Love Story,"12,59,00,000","Jalees Sherwani,Rashid Khan,Ajay Jhingran",Sajid - Wajid,"$165,000","Ramesh S. Taurani,Mukesh Udeshi,Kumar S. Taurani, Allu Arvind",Tips Industries Pvt. Ltd.,22-Mar-02,144 min,Balesekhran,190,Javed Siddique,Kya Yehi Pyaar Hai,"13,39,43,750"
626,Shabana Azmi,Shweta Prasad,Makarand Deshpande,Mohini Mathur,Dayashankar Pandey,"
",,"1,25,00,000",Vishal Bhardwaj,Vishal Bhardwaj,,"6,50,000","36,25,000","21,00,000",Thriller,"1,51,00,000",Gulzar,Vishal Bhardwaj,$---,Vishal Bhardwaj,Percept Picture Company,22-Nov-02,90 min,"Vishal Bhardwaj,Abbas Tyrewala",35,Vishal Bhardwaj,Makdee,"1,51,00,000"
627,Govinda,Rani Mukherjee,Om Puri,Laxmikant Berde,Farida Jalal,Apoorva Agnihotri,Deepak Tijori,"4,25,00,000",S.M. Ahale,Kirti Kumar,,"16,00,000","68,00,000","43,00,000",Love Story,"1,79,00,000",Anand Bakshi,Uttam Singh,"$60,000",R.B. Choudary,Super Good Films,26-Apr-02,148 min,Shashi Raj,90,Javed Siddique,Pyaar Diwana Hota Hai,"2,08,40,000"
628,Tabu,Sushmita Sen,Sanjay Suri,Palash Sen,Akash Khurana,Shivaji Satam,Suhasini Mulay,"4,00,00,000",Meghna Gulzar,Meghna Gulzar,,"22,00,000","1,09,00,000","65,00,000",Drama,"3,09,00,000",Gulzar,Anu Malik,"$205,000",Jhamu Sughand,Sughand Productions Pvt. Ltd.,01-Feb-02,155 min,Meghna Gulzar,70,Meghna Gulzar,Filhaal...,"4,08,42,500"
629,Vinod Khanna,Bobby Deol,Ameesha Patel,Kabir Bedi,Rati Agnihotri,Om Puri,Dalip Tahil,"9,00,00,000",N. Maharajan,Naresh Malhotra,,"82,00,000","3,77,50,000","2,31,00,000",Action,"10,28,00,000",Anand Bakshi,Jatin - Lalit,"$190,000",Vivek Kumar,Vicky Films Pvt. Ltd.,08-Mar-02,136 min,N. Maharajan,270,Sanjay Masoom,Kranti,"11,20,15,000"
630,Sanjay Dutt,Shilpa Shetty,Sharad S. Kapoor,Shakti Kapoor,Sachin Khedekar,Gulshan Grover,Shivaji Satam,"7,00,00,000",Mahesh Manjrekar,Mahesh Manjrekar,,"77,00,000","3,29,00,000","2,12,00,000",Action,"8,65,00,000","Vineet Srinet,Praveen Bhardwaj,Nitin Raikwar,Dev Kohli,Sanjay Upadhyay","Anand Raj Anand,Nitin Raikwar","$205,000","Ratan Jain,Ganesh Jain",Satyajeet Movies Pvt. Ltd.,18-Oct-02,140 min,Mahesh Manjrekar,265,Mahesh Manjrekar,Hathyar,"9,63,91,250"
631,R. Madhavan,Jimmy Shergill,Sanjay Suri,Namrata Shirodkar,Sonali Kulkarni,Hrishita Bhatt,Rakesh Bapat,"4,50,00,000",Sujit Sen,Anant Mahadevan,,"32,00,000","1,58,00,000","1,00,00,000",Love Story,"3,83,00,000",,"Babloo Chakravorty,R.D. Burman","$170,000",,Insight Productions,18-Oct-02,154 min,Vivek Vaswani,140,Sanjeev Puri,Dil Vil Pyar Vyar,"4,65,02,500"
632,Aamir Ali Malik,Deepti Daryanani,Payal Rohatgi,Prashant Chainani,Pakhi,Samita Bangargi,Tarun Anand,"3,25,00,000",Suparn Verma,Hansal Mehta,,"51,00,000","2,11,00,000","1,40,00,000",Comedy,"4,74,00,000",Javed Akhtar,Shankar - Ehsaan - Loy,$---,"Harman Baweja,Pammi Baweja",Baweja Movies Pvt. Ltd.,11-Oct-02,130 min,Suparn Verma,150,Suparn Verma,Yeh Kya Ho Raha Hai?,"4,74,00,000"
633,Naseeruddin Shah,Tara Deshpande,Akash Khurana,Ratna Pathak,Dilip Prabhavalkar,Avtar Gill,Sanjeev Dabholkar,"80,00,000",Ajay Panesekar,Ajay Panesekar,,"1,50,000","9,00,000","5,00,000",Drama,"64,00,000","Rajan Bane,Sanjay Churmure",Amar Mohile,$---,"Shyam Shroff,Ajay Panesekar,Jairaj Patil",Shringar Films Pvt. Ltd.,09-Aug-02,144 min,Ajay Panesekar,6,Ajay Panesekar,Encounter - The Killing,"64,00,000"
634,Govinda,Raveena Tandon,Preeti Jhangiani,Kader Khan,Shammi Kapoor,Shakti Kapoor,Mohnish Bahl,"5,00,00,000","Rajeev Kaul,Praful Parekh",Manoj Agrawal,,"25,00,000","1,09,00,000","71,00,000",Comedy,"2,94,00,000",Sameer,Jatin - Lalit,"$35,000",,New World Enterprises,01-Nov-02,142 min,"Rajeev Kaul,Praful Parekh",175,Anwar Khan,Waah! Tera Kya Kehna,"3,10,88,750"
635,Sanjay Dutt,Jackie Shroff,Nandita Das,Om Puri,Sachin Khedekar,Tanvi Hegde,Siddharth,"7,50,00,000","Mahesh Manjrekar,Teja",Mahesh Manjrekar,,"74,00,000","3,18,50,000","2,07,00,000",Drama,"7,90,00,000",Praveen Bhardwaj,Anand Raj Anand,"$95,000",Avinash Adik,Aryaman Films,04-Jan-02,135 min,"Mahesh Manjrekar,Teja",275,K.K. Singh,Pitaah,"8,35,83,750"
636,Govinda,Raveena Tandon,Kader Khan,Shakti Kapoor,Johny Lever,Asrani,Anjana Mumtaz,"5,25,00,000","Rajeev Kaul,Praful Parekh",Harmesh Malhotra,,"55,00,000","2,15,00,000","1,45,00,000",Comedy,"5,06,00,000",Sameer,Anand - Milind,"$15,000",Harmesh Malhotra,Eastern Films,02-Aug-02,154 min,"Rajeev Kaul,Rajeev Kaul",225,Anwar Khan,Akhiyon Se Goli Maare,"5,13,27,500"
637,Rajesh Khanna,Tusshar Kapoor,Esha Deol,Raj Babbar,Ashok Saraf,Neena Kulkarni,Shammi,"6,25,00,000",Sanjay Chhel,Sanjay Chhel,,"70,00,000","3,00,00,000","1,96,00,000",Love Story,"6,90,00,000",Sanjay Chhel,Himesh Reshammiya,"$125,000",G.A. Sheshagiri Rao,Padmalaya Telefilms Ltd.,28-Jun-02,149 min,Sanjay Chhel,220,Sanjay Chhel,Kyaa Dil Ne Kahaa,"7,50,93,750"
638,Lucky Ali,Gauri Karnik,Simone Singh,Achint Kaur,Divya Dutta,Ehsan Khan,Harsh Vasisht,"2,00,00,000",Tanuja Chandra,Tanuja Chandra,,"14,00,000","53,25,000","36,00,000",Drama,"1,15,00,000",Nida Fazli,M.M. Kreem,$---,"Rangita Pritish Nandy,Pooja Bhatt",Fish Eye Network Pvt. Ltd.,13-Sep-02,147 min,Tanuja Chandra,80,Vibha Singh,Sur - The Melody of Life,"1,15,00,000"
639,Jaya Bachchan,Sanjay Kapoor,Aftab Shivdasani,Esha Deol,Anupam Kher,Jaspal Bhatti,Rajpal Yadav,"6,50,00,000",Vinay Shukla,Vinay Shukla,,"55,00,000","2,39,50,000","1,50,00,000",Drama,"6,31,00,000","Dev Kohli,Ibrahim Ashik,Suryabhanu Gupt",Rajesh Roshan,"$150,000",Boney Kapoor,S.K. Films Enterprises,11-Jan-02,146 min,Vinay Shukla,180,Vinay Shukla,Koi Mere Dil Se Poochhe,"7,03,37,500"
640,Sanjay Dutt,Suneil Shetty,Ashutosh Rana,Preeti Jhangiani,Shweta Menon,Tinnu Anand,Johny Lever,"6,75,00,000",Imtiaz Hussain,Ravi Dewan,,"39,00,000","1,82,50,000","1,13,00,000",Action,"4,87,00,000",Dev Kohli,Anand Raj Anand,"$50,000",Ravi Dewan,Suryoday Productions,01-Nov-02,153 min,Imtiaz Hussain,165,Imtiaz Hussain,Annarth,"5,11,12,500"
641,Nana Patekar,Puru Raajkumar,Anupama Varma,Meghna Kothari,Sambhavna Sheth,Arun Bakshi,,"3,75,00,000",Dilip Dhanwani,N.S.R.,,"19,00,000","75,00,000","50,00,000",Thriller,"1,86,00,000","Vishal Daldani,Nida Fazli",Vishal - Shekhar,"$1,300",Dilip Dhanwani,Megastar,29-Mar-02,132 min,Dilip Dhanwani,100,"Dilip Dhanwani,Hriday Lani",Vadh,"1,86,00,000"
642,Suneil Shetty,Namrata Shirodkar,Inder Kumar,Manek Bedi,Rajpal Yadav,Shiva Rindani,Manoj Joshi,"4,50,00,000","Anwar Khan,Pradeep Ghatak",Partho Ghosh,,"19,00,000","77,50,000","51,00,000",Action,"1,89,00,000",Dev Kohli,Anand Raj Anand,"$2,500",Pravin Shah,Time Magnetics Pvt. Ltd.,13-Dec-02,120 min,Pradeep Ghatak,75,Anwar Khan,Maseeha,"1,90,20,000"
643,Kay Kay Menon,Jaya Seal,Naved Aslam,Shri Vallabh Vyas,Prashant Narayanan,Sanjay Mishra,Abhijit Lahiri,"1,50,00,000",Suparn Verma,Hansal Mehta,,"15,00,000","59,25,000","40,00,000",Thriller,"1,32,00,000",Amitabh Verma,Viju Shah,$---,"Umang Pahwa,Nitin Patil,Uday Shah",Ishan Films Pvt. Ltd,09-Aug-02,124 min,Suparn Verma,75,Suparn Verma,Chhal,"1,32,00,000"
